A-ARENA-01Z;MVDANARM01
CHUY-02Z;ROCCHUYY01
COLON-01Z;MVDCO1LM01
COLON-02Z;MVDCO1LM01
COLON-03Z;MVDCO1LM01
COLON-04Z;MVDCO1LM01
COLON-05Z;MVDCO1LM01
COLON-06Z;MVDCO1LM01
COLON-07Z;MVDCO1LM01
COLON-08Z;MVDCO1LM01
COLONIA-01Z;COLCLNIA01
COLONIA-02Z;COLCLNIA01
COLONIA-03Z;COLCLNIA01
COLONIA-04Z;COLCLNIA01
COLONIA-05Z;COLCLNIA01
COLONIA-06Z;COLCLNIA01
COLONIA-07Z;COLCLNIA01
COLONIA-08Z;COLCLNIA01
CORDON-01Z;MVDCORDM01
CORDON-02Z;MVDCORDM01
CORDON-03Z;MVDCORDM01
CORDON-04Z;MVDCORDM01
CORDON-05Z;MVDCORDM01
CORDON-06Z;MVDCORDM01
CORDON-07Z;MVDCORDM01
CORDON-08Z;MVDCORDM01
CORDON-09Z;MVDCORDM01
CORDON-10Z;MVDCORDM01
CORDON-11Z;MVDCORDM01
CORDON-12Z;MVDCORDM01
CORDON-13Z;MVDCORDM01
CORDON-14Z;MVDCORDM01
CORDON-15Z;MVDCORDM01
CORDON-16Z;MVDCORDM01
CORDON-17Z;MVDCORDM01
CORDON-18Z;MVDCORDM01
CORDON-19Z;MVDCORDM01
C-VALDENS-01Z;COLCVLDN01
C-VIEJA-01Z;MVDCVJAM01
C-VIEJA-02Z;MVDCVJAM01
C-VIEJA-03Z;MVDCVJAM01
C-VIEJA-04Z;MVDCVJAM01
C-VIEJA-05Z;MVDCVJAM01
C-VIEJA-06Z;MVDCVJAM01
C-VIEJA-08Z;MVDCVJAM01
DOLORES-01Z;SORDLRES01
DOLORES-02Z;SORDLRES01
DOLORES-03Z;SORDLRES01
DOLORES-04Z;SORDLRES01
DURAZNO-01Z;DURDUZNO01
DURAZNO-02Z;DURDUZNO01
DURAZNO-03Z;DURDUZNO01
DURAZNO-04Z;DURDUZNO01
DURAZNO-05Z;DURDUZNO01
DURAZNO-06Z;DURDUZNO01
DURAZNO-07Z;DURDUZNO01
DURAZNO-08Z;DURDUZNO01
EL-PINAR-01Z;CANEPRAR01
EL-PINAR-02Z;CANEPRAR01
EL-PINAR-03Z;CANEPRAR01
EL-PINAR-04Z;CANEPRAR01
EL-PINAR-05Z;CANEPRAR01
E-OLMOS-01N;CANEOLMS01
EUSKAL-01Z;MVDEUSKM01
EUSKAL-02Z;MVDEUSKM01
EUSKAL-03Z;MVDEUSKM01
EUSKAL-04Z;MVDEUSKM01
EUSKAL-05Z;MVDEUSKM01
EUSKAL-06Z;MVDEUSKM01
EUSKAL-07Z;MVDEUSKM01
EUSKAL-08Z;MVDEUSKM01
F-BENTOS-01Z;RNGFYBTS01
F-BENTOS-02Z;RNGFYBTS01
F-BENTOS-03Z;RNGFYBTS01
F-BENTOS-04Z;RNGFYBTS01
F-BENTOS-05Z;RNGFYBTS01
F-BENTOS-06Z;RNGFYBTS01
FJ-IGNACI-01Z;MLDFJIGN01
FLORIDA-01Z;FLIFLRDA01
FLORIDA-02Z;FLIFLRDA01
FLORIDA-03Z;FLIFLRDA01
FLORIDA-04Z;FLIFLRDA01
FLORIDA-05Z;FLIFLRDA01
FLORIDA-06Z;FLIFLRDA01
FLORIDA-07Z;FLIFLRDA01
FLORIDA-08Z;FLIFLRDA01
G-AZNAREZ-01Z;MLDGAZNR01
GUICHON-01M;PAYGCHON01
ITUZAINGO-01Z;MVDITUZM01
ITUZAINGO-02Z;MVDITUZM01
ITUZAINGO-03Z;MVDITUZM01
ITUZAINGO-04Z;MVDITUZM01
ITUZAINGO-05Z;MVDITUZM01
ITUZAINGO-06Z;MVDITUZM01
ITUZAINGO-07Z;MVDITUZM01
ITUZAINGO-08Z;MVDITUZM01
ITUZAINGO-09Z;MVDITUZM01
ITUZAINGO-10Z;MVDITUZM01
ITUZAINGO-11Z;MVDITUZM01
ITUZAINGO-12Z;MVDITUZM01
ITUZAINGO-13Z;MVDITUZM01
ITUZAINGO-14Z;MVDITUZM01
ITUZAINGO-15Z;MVDITUZM01
ITUZAINGO-16Z;MVDITUZM01
ITUZAINGO-17Z;MVDITUZM01
J-LACAZE-01Z;COLJLCZE01
J-LACAZE-02Z;COLJLCZE01
J-LACAZE-03Z;COLJLCZE01
J-LACAZE-04Z;COLJLCZE01
JP-VARELA-01Z;LAVVRELA01
LA-BARRA-01Z;MLDLBRRA01
LA-BARRA-02Z;MLDLBRRA01
LA-BARRA-03Z;MLDLBRRA01
LA-PALOMA-01Z;ROCLPRCH01
LA-PALOMA-02Z;ROCLPRCH01
LA-PALOMA-03Z;ROCLPRCH01
LA-PALOMA-04Z;ROCLPRCH01
LA-PAZ-01Z;CANLAPAZ01
LA-PAZ-02Z;CANLAPAZ01
LA-PAZ-03Z;CANLAPAZ01
LA-PAZ-04Z;CANLAPAZ01
LASCANO-01N;ROCLSCNO01
LEZICA-01Z;MVDLEZCM01
LEZICA-02Z;MVDLEZCM01
LEZICA-03Z;MVDLEZCM01
LIBERTAD-01Z;SJSLIBTD01
LIBERTAD-02Z;SJSLIBTD01
LIBERTAD-03Z;SJSLIBTD01
L-PIEDRAS-01Z;CANLPDRS01
L-PIEDRAS-02Z;CANLPDRS01
L-PIEDRAS-03Z;CANLPDRS01
L-PIEDRAS-04Z;CANLPDRS01
L-PIEDRAS-05Z;CANLPDRS01
L-PIEDRAS-06Z;CANLPDRS01
L-PIEDRAS-07Z;CANLPDRS01
L-PIEDRAS-08Z;CANLPDRS01
L-PIEDRAS-09Z;CANLPDRS01
L-PIEDRAS-10Z;CANLPDRS01
L-PIEDRAS-11Z;CANLPDRS01
L-PIEDRAS-12Z;CANLPDRS01
L-PIEDRAS-13Z;CANLPDRS01
MALDONADO-01Z;MLDMLDND01
MALDONADO-02Z;MLDMLDND01
MALDONADO-03Z;MLDMLDND01
MALDONADO-04Z;MLDMLDND01
MALDONADO-05Z;MLDMLDND01
MALDONADO-06Z;MLDMLDND01
MALDONADO-07Z;MLDMLDND01
MALDONADO-08Z;MLDMLDND01
MALDONADO-09Z;MLDMLDND01
MALDONADO-10Z;MLDMLDND01
MALDONADO-11Z;MLDMLDND01
MALDONADO-12Z;MLDMLDND01
MALDONADO-13Z;MLDMLDND01
MALDONADO-14Z;MLDMLDND01
MALDONADO-15Z;MLDMLDND01
MALDONADO-16Z;MLDMLDND01
MALDONADO-17Z;MLDMLDND01
MALDONADO-18Z;MLDMLDND01
MALDONADO-19Z;MLDMLDND01
MALDONADO-20Z;MLDMLDND01
MALDONADO-21Z;MLDMLDND01
MALVIN-01Z;MVDMALVM01
MALVIN-02Z;MVDMALVM01
MALVIN-03Z;MVDMALVM01
MALVIN-04Z;MVDMALVM01
MALVIN-05Z;MVDMALVM01
MALVIN-06Z;MVDMALVM01
MALVIN-07Z;MVDMALVM01
MALVIN-08Z;MVDMALVM01
MALVIN-09Z;MVDMALVM01
MALVIN-10Z;MVDMALVM01
MANGA-01Z;MVDMG1AM01
MANGA-02Z;MVDMG1AM01
MANGA-03Z;MVDMG1AM01
MANGA-04Z;MVDMG1AM01
MANGA-05Z;MVDMG1AM01
MANGA-06Z;MVDMG1AM01
MANGA-07Z;MVDMG1AM01
MANGA-08Z;MVDMG1AM01
MANGA-09Z;MVDMG1AM01
MANGA-10Z;MVDMG1AM01
MANGA-11Z;MVDMG1AM01
MANGA-12Z;MVDMG1AM01
MANGA-SA3-01Z;MVDMG4AM01
MANGA-SA3-02Z;MVDMG4AM01
MANGA-SA3-03Z;MVDMG4AM01
MARISCALA-01Z;LAVMRSCL01
MELO-01Z;CLGMELOO01
MELO-02Z;CLGMELOO01
MELO-03Z;CLGMELOO01
MELO-04Z;CLGMELOO01
MELO-05Z;CLGMELOO01
MELO-06Z;CLGMELOO01
MELO-07Z;CLGMELOO01
MELO-08Z;CLGMELOO01
MELO-09Z;CLGMELOO01
MELO-10Z;CLGMELOO01
MELO-11Z;CLGMELOO01
MELO-12Z;CLGMELOO01
MERCEDES-01Z;SORMRCDS01
MERCEDES-02Z;SORMRCDS01
MERCEDES-03Z;SORMRCDS01
MERCEDES-04Z;SORMRCDS01
MERCEDES-05Z;SORMRCDS01
MERCEDES-06Z;SORMRCDS01
MERCEDES-07Z;SORMRCDS01
MERCEDES-08Z;SORMRCDS01
MINAS-01Z;LAVMINAS01
MINAS-02Z;LAVMINAS01
MINAS-03Z;LAVMINAS01
MINAS-04Z;LAVMINAS01
MINAS-05Z;LAVMINAS01
MINAS-06Z;LAVMINAS01
MINAS-07Z;LAVMINAS01
MINAS-08Z;LAVMINAS01
MINAS-09Z;LAVMINAS01
N-HELVECI-01Z;COLNHLVC01
N-HELVECI-02Z;COLNHLVC01
N-PALMIRA-01M;COLNPLMR01
N-PALMIRA-02M;COLNPLMR01
PALACIO-01Z;MVDPCIOM01
PALACIO-02Z;MVDPCIOM01
PALACIO-03Z;MVDPCIOM01
PALACIO-04Z;MVDPCIOM01
PALACIO-05Z;MVDPCIOM01
PALACIO-06Z;MVDPCIOM01
PANDO-01Z;CANPNDOO01
PANDO-02Z;CANPNDOO01
PANDO-03Z;CANPNDOO01
PANDO-04Z;CANPNDOO01
PANDO-05Z;CANPNDOO01
PANDO-06Z;CANPNDOO01
PARADA5-01Z;MLDPRDA501
PARADA5-02Z;MLDPRDA501
PARADA5-03Z;MLDPRDA501
PARADA5-04Z;MLDPRDA501
PARADA5-05Z;MLDPRDA501
PARADA5-06Z;MLDPRDA501
PARADA5-07Z;MLDPRDA501
PARADA5-08Z;MLDPRDA501
PARADA5-09Z;MLDPRDA501
PARADA5-10Z;MLDPRDA501
P-ARENA-01Z;MVDPANAM01
P-ARENA-02Z;MVDPANAM01
PASO-CAR-01Z;MVDPCARM01
PASO-CAR-02Z;MVDPCARM01
PASO-CAR-03Z;MVDPCARM01
PAYSANDU-01Z;PAYPYSND01
PAYSANDU-02Z;PAYPYSND01
PAYSANDU-03Z;PAYPYSND01
PAYSANDU-04Z;PAYPYSND01
PAYSANDU-05Z;PAYPYSND01
PAYSANDU-06Z;PAYPYSND01
PAYSANDU-07Z;PAYPYSND01
PAYSANDU-08Z;PAYPYSND01
PAYSANDU-09Z;PAYPYSND01
PAYSANDU-10Z;PAYPYSND01
PAYSANDU-11Z;PAYPYSND01
PAYSANDU-12Z;PAYPYSND01
PAYSANDU-13Z;PAYPYSND01
PAYSANDU-14Z;PAYPYSND01
PAYSANDU-15Z;PAYPYSND01
P-CARRETA-01Z;MVDPTACM01
P-CARRETA-02Z;MVDPTACM01
P-CARRETA-03Z;MVDPTACM01
P-CARRETA-04Z;MVDPTACM01
P-CARRETA-05Z;MVDPTACM01
P-CARRETA-06Z;MVDPTACM01
P-CARRETA-07Z;MVDPTACM01
P-CARRETA-08Z;MVDPTACM01
P-CARRETA-09Z;MVDPTACM01
P-CARRETA-10Z;MVDPTACM01
P-CARRETA-11Z;MVDPTACM01
P-DIABLO-01Z;ROCPTDBL01
PENINSULA-01Z;MLDPNNSL01
PENINSULA-02Z;MLDPNNSL01
PENINSULA-03Z;MLDPNNSL01
PENINSULA-04Z;MLDPNNSL01
PENINSULA-05Z;MLDPNNSL01
PIRIAPOLI-01Z;MLDPRPLS01
PIRIAPOLI-02Z;MLDPRPLS01
P-MOLINO-01Z;MVDPASOM01
P-MOLINO-02Z;MVDPASOM01
P-MOLINO-03Z;MVDPASOM01
P-MOLINO-04Z;MVDPASOM01
P-MOLINO-05Z;MVDPASOM01
P-MOLINO-06Z;MVDPASOM01
P-MOLINO-07Z;MVDPASOM01
P-MOLINO-08Z;MVDPASOM01
P-MOLINO-09Z;MVDPASOM01
P-MOLINO-10Z;MVDPASOM01
P-MOLINO-11Z;MVDPASOM01
P-MOLINO-12Z;MVDPASOM01
P-MOLINO-13Z;MVDPASOM01
P-MOLINO-14Z;MVDPASOM01
P-MOLINO-15Z;MVDPASOM01
P-MOLINO-16Z;MVDPASOM01
P-MOLINO-17Z;MVDPASOM01
P-MOLINO-18Z;MVDPASOM01
P-MOLINO-19Z;MVDPASOM01
P-MOLINO-20Z;MVDPASOM01
P-MOLINO-21Z;MVDPASOM01
P-MOLINO-22Z;MVDPASOM01
P-MOLINO-23Z;MVDPASOM01
P-MOLINO-24Z;MVDPASOM01
P-MOLINO-25Z;MVDPASOM01
P-MOLINO-26Z;MVDPASOM01
POCITOS-01Z;MVDPOCIM01
POCITOS-02Z;MVDPOCIM01
POCITOS-03Z;MVDPOCIM01
POCITOS-04Z;MVDPOCIM01
POCITOS-05Z;MVDPOCIM01
POCITOS-06Z;MVDPOCIM01
POCITOS-07Z;MVDPOCIM01
POCITOS-08Z;MVDPOCIM01
POCITOS-09Z;MVDPOCIM01
POCITOS-10Z;MVDPOCIM01
POCITOS-11Z;MVDPOCIM01
POCITOS-12Z;MVDPOCIM01
POCITOS-13Z;MVDPOCIM01
PORTEZUE-01Z;MLDPTZLO01
PQ-PLATA-01Z;CANPDPTA01
PQ-PLATA-02Z;CANPDPTA01
PQ-PLATA-03Z;CANPDPTA01
PQ-PLATA-04Z;CANPDPTA01
PQ-PLATA-05Z;CANPDPTA01
PQ-PLATA-06Z;CANPDPTA01
PQUE-RODO-01Z;MVDPRODM01
PQUE-RODO-02Z;MVDPRODM01
PQUE-RODO-03Z;MVDPRODM01
PQUE-RODO-04Z;MVDPRODM01
PQUE-RODO-05Z;MVDPRODM01
PROGRESO-01Z;CANPRGSO01
PROGRESO-02Z;CANPRGSO01
PROGRESO-03Z;CANPRGSO01
PROGRESO-04Z;CANPRGSO01
P-TOROS-01M;TACPDTRS01
P-TOROS-02M;TACPDTRS01
R-BRANCO-01Z;CLGRBNCO01
R-BRANCO-02Z;CLGRBNCO01
RIVERA-01Z;RIVRVERA01
RIVERA-02Z;RIVRVERA01
RIVERA-03Z;RIVRVERA01
RIVERA-04Z;RIVRVERA01
RIVERA-05Z;RIVRVERA01
RIVERA-06Z;RIVRVERA01
RIVERA-07Z;RIVRVERA01
RIVERA-08Z;RIVRVERA01
RIVERA-09Z;RIVRVERA01
RIVERA-10Z;RIVRVERA01
RIVERA-11Z;RIVRVERA01
RIVERA-12Z;RIVRVERA01
RIVERA-13Z;RIVRVERA01
RIVERA-14Z;RIVRVERA01
RIVERA-15Z;RIVRVERA01
RIVERA-16Z;RIVRVERA01
ROCHA-01Z;ROCROCHA01
ROCHA-02Z;ROCROCHA01
ROCHA-03Z;ROCROCHA01
ROCHA-04Z;ROCROCHA01
ROCHA-05Z;ROCROCHA01
ROCHA-06Z;ROCROCHA01
ROCHA-07Z;ROCROCHA01
ROSARIO-01M;COLROSIO01
SALINAS-01Z;CANSLNAS01
SALINAS-02Z;CANSLNAS01
SALINAS-03Z;CANSLNAS01
SALINAS-04Z;CANSLNAS01
SALINAS-05Z;CANSLNAS01
SALTO-01Z;SALSALTO01
SALTO-02Z;SALSALTO01
SALTO-03Z;SALSALTO01
SALTO-04Z;SALSALTO01
SALTO-05Z;SALSALTO01
SALTO-06Z;SALSALTO01
SALTO-07Z;SALSALTO01
SALTO-08Z;SALSALTO01
SALTO-09Z;SALSALTO01
SALTO-10Z;SALSALTO01
SALTO-11Z;SALSALTO01
SALTO-12Z;SALSALTO01
SALTO-13Z;SALSALTO01
SALTO-14Z;SALSALTO01
SALTO-15Z;SALSALTO01
SALTO-16Z;SALSALTO01
SALTO-17Z;SALSALTO01
SAN-JACINTO-01Z;CANSJITO01
SAN-JACINTO-02Z;CANSJITO01
SAN-JOSE-01Z;SJSSJOSE01
SAN-JOSE-02Z;SJSSJOSE01
SAN-JOSE-03Z;SJSSJOSE01
SAN-JOSE-04Z;SJSSJOSE01
SAN-JOSE-05Z;SJSSJOSE01
SAN-JOSE-06Z;SJSSJOSE01
SAN-JOSE-07Z;SJSSJOSE01
SAN-JOSE-08Z;SJSSJOSE01
SARAND-G-01Z;FLISDGDE01
SARANDI-G-01Z;FLISDGDE01
SARAND-YI-01Z;DURSIDYI01
SARAND-YI-02Z;DURSIDYI01
SAUCE-01Z;CANSAUCE01
SAUCE-02Z;CANSAUCE01
SAYAGO-01Z;MVDSYGOM01
SAYAGO-02Z;MVDSYGOM01
SAYAGO-03Z;MVDSYGOM01
SAYAGO-04Z;MVDSYGOM01
SAYAGO-05Z;MVDSYGOM01
SAYAGO-06Z;MVDSYGOM01
SAYAGO-07Z;MVDSYGOM01
SAYAGO-08Z;MVDSYGOM01
SAYAGO-09Z;MVDSYGOM01
SAYAGO-10Z;MVDSYGOM01
S-CARLOS-01Z;MLDSCRLS01
S-CARLOS-02Z;MLDSCRLS01
S-CARLOS-03Z;MLDSCRLS01
S-CARLOS-04Z;MLDSCRLS01
SJ-CARRAS-01Z;CANSJSCO01
SJ-CARRAS-02Z;CANSJSCO01
SJ-CARRAS-03Z;CANSJSCO01
SJ-CARRAS-04Z;CANSJSCO01
SJ-CARRAS-05Z;CANSJSCO01
SJ-CARRAS-06Z;CANSJSCO01
SJ-CARRAS-07Z;CANSJSCO01
S-LUCIA-01Z;CANSLCIA01
S-LUCIA-02Z;CANSLCIA01
S-LUCIA-03Z;CANSLCIA01
SOLYMAR-01Z;CANSLMAR01
SOLYMAR-02Z;CANSLMAR01
SOLYMAR-03Z;CANSLMAR01
SOLYMAR-04Z;CANSLMAR01
SOLYMAR-05Z;CANSLMAR01
SOLYMAR-06Z;CANSLMAR01
SOLYMAR-07Z;CANSLMAR01
SOLYMAR-08Z;CANSLMAR01
SOLYMAR-09Z;CANSLMAR01
S-TERESIT-01Z;CANSTRTA01
S-TERESIT-02Z;CANSTRTA01
S-TERESIT-03Z;CANSTRTA01
S-TERESIT-04Z;CANSTRTA01
TACUAREMBO-01Z;TACTCRMB01
TACUAREMBO-02Z;TACTCRMB01
TACUAREMBO-03Z;TACTCRMB01
TACUAREMBO-04Z;TACTCRMB01
TACUAREMBO-05Z;TACTCRMB01
TACUAREMBO-06Z;TACTCRMB01
TACUAREMBO-07Z;TACTCRMB01
TACUAREMBO-08Z;TACTCRMB01
TACUAREMBO-09Z;TACTCRMB01
TACUAREMBO-10Z;TACTCRMB01
TACUAREMBO-11Z;TACTCRMB01
TACUAREMBO-12Z;TACTCRMB01
TARARIRAS-01M;COLTRRAS01
TOLEDO-01Z;CANTLEDO01
TOLEDO-02Z;CANTLEDO01
TRANQUERA-01Z;RIVTQRAS01
TRINIDAD-01Z;FLETRNDD01
TRINIDAD-02Z;FLETRNDD01
TRINIDAD-03Z;FLETRNDD01
TRINIDAD-04Z;FLETRNDD01
TRINIDAD-05Z;FLETRNDD01
TRINIDAD-06Z;FLETRNDD01
T-Y-TRES-01Z;TYTTRYTR01
T-Y-TRES-02Z;TYTTRYTR01
T-Y-TRES-03Z;TYTTRYTR01
T-Y-TRES-04Z;TYTTRYTR01
T-Y-TRES-05Z;TYTTRYTR01
T-Y-TRES-06Z;TYTTRYTR01
T-Y-TRES-07Z;TYTTRYTR01
T-Y-TRES-08Z;TYTTRYTR01
T-Y-TRES-09Z;TYTTRYTR01
UNION-01Z;MVDUNIOM01
UNION-02Z;MVDUNIOM01
UNION-03Z;MVDUNIOM01
UNION-04Z;MVDUNIOM01
UNION-05Z;MVDUNIOM01
UNION-06Z;MVDUNIOM01
UNION-07Z;MVDUNIOM01
UNION-08Z;MVDUNIOM01
UNION-09Z;MVDUNIOM01
UNION-10Z;MVDUNIOM01
UNION-11Z;MVDUNIOM01
UNION-12Z;MVDUNIOM01
UNION-13Z;MVDUNIOM01
UNION-14Z;MVDUNIOM01
UNION-15Z;MVDUNIOM01
UNION-16Z;MVDUNIOM01
UNION-17Z;MVDUNIOM01
YOUNG-01Z;RNGYOUNG01
YOUNG-02Z;RNGYOUNG01
YOUNG-03Z;RNGYOUNG01
YOUNG-04Z;RNGYOUNG01
